date,engin,runway,captain,airport,system,offic,control,land,oper,pilot
1976-08-31,204,18,0,34,6,1,11,31,28,22
1976-09-30,22,23,13,27,35,6,63,21,22,30
1976-10-31,0,0,0,0,0,0,0,0,0,0
1976-11-30,0,0,0,0,0,0,0,0,0,0
1976-12-31,6,33,13,36,2,9,4,15,11,21
1977-01-31,32,52,49,38,28,12,195,10,29,56
1977-02-28,7,8,0,9,14,1,8,4,8,30
1977-03-31,0,0,0,0,0,0,0,0,0,0
1977-04-30,54,6,27,23,22,49,42,11,18,22
1977-05-31,16,0,31,6,11,12,6,52,24,2
1977-06-30,17,62,27,39,0,11,5,15,7,8
1977-07-31,0,0,0,0,0,0,0,0,0,0
1977-08-31,0,0,0,0,0,0,0,0,0,0
1977-09-30,27,6,8,23,17,3,12,5,23,18
1977-10-31,49,3,2,7,5,9,4,11,36,0
1977-11-30,0,0,0,0,0,0,0,0,0,0
1977-12-31,37,35,19,31,14,28,82,34,15,8
1978-01-31,0,0,0,0,0,0,0,0,0,0
1978-02-28,9,8,21,9,39,13,2,7,27,11
1978-03-31,37,54,10,6,2,1,1,33,6,0
1978-04-30,0,0,0,0,0,0,0,0,0,0
1978-05-31,26,56,37,46,25,35,65,25,23,21
1978-06-30,5,55,5,14,1,2,57,11,3,6
1978-07-31,11,55,39,17,10,19,9,54,8,5
1978-08-31,18,15,0,6,10,0,17,6,11,7
1978-09-30,67,5,46,21,7,9,83,18,28,16
1978-10-31,0,0,0,0,0,0,0,0,0,0
1978-11-30,0,0,0,0,0,0,0,0,0,0
1978-12-31,74,14,82,41,18,48,12,62,24,3
1979-01-31,0,0,0,0,0,0,0,0,0,0
1979-02-28,162,40,40,24,31,21,15,25,27,13
1979-03-31,179,23,17,11,42,9,14,30,44,35
1979-04-30,16,10,33,29,30,29,26,39,8,7
1979-05-31,59,43,29,40,19,26,9,13,18,35
1979-06-30,0,30,60,14,12,43,2,16,0,13
1979-07-31,21,4,18,22,12,10,7,7,8,5
1979-08-31,47,62,14,35,35,19,37,65,13,52
1979-09-30,13,6,10,6,17,7,9,41,15,0
1979-10-31,62,24,38,11,6,2,14,22,20,20
1979-11-30,120,18,53,31,119,32,38,11,36,16
1979-12-31,0,0,0,0,0,0,0,0,0,0
1980-01-31,13,33,10,1,17,3,3,13,9,12
1980-02-29,14,12,0,18,6,1,35,13,22,22
1980-03-31,0,0,0,0,0,0,0,0,0,0
1980-04-30,0,0,0,0,0,0,0,0,0,0
1980-05-31,50,88,0,17,25,1,30,144,17,47
1980-06-30,247,65,7,23,86,15,61,71,50,41
1980-07-31,119,58,6,30,17,2,45,38,27,37
1980-08-31,0,0,0,0,0,0,0,0,0,0
1980-09-30,2,6,31,15,14,24,7,3,17,0
1980-10-31,0,0,0,0,0,0,0,0,0,0
1980-11-30,10,80,31,21,12,34,0,60,5,1
1980-12-31,0,0,0,0,0,0,0,0,0,0
1981-01-31,147,175,23,40,25,23,24,81,41,42
1981-02-28,74,94,31,41,43,12,78,78,15,28
1981-03-31,0,0,0,0,0,0,0,0,0,0
1981-04-30,7,21,28,39,42,30,30,73,37,8
1981-05-31,0,0,0,0,0,0,0,0,0,0
1981-06-30,0,0,0,0,0,0,0,0,0,0
1981-07-31,24,0,0,4,5,0,6,1,5,12
1981-08-31,0,0,0,0,0,0,0,0,0,0
1981-09-30,219,44,9,46,91,9,54,29,40,22
1981-10-31,3,1,0,0,28,2,13,6,18,7
1981-11-30,0,0,0,0,0,0,0,0,0,0
1981-12-31,13,31,0,24,12,4,4,25,4,4
1982-01-31,49,72,40,98,44,32,22,38,41,31
1982-02-28,95,5,52,20,52,47,10,47,25,7
1982-03-31,0,0,0,0,0,0,0,0,0,0
1982-04-30,0,0,0,0,0,0,0,0,0,0
1982-05-31,21,15,14,2,16,6,13,12,47,35
1982-06-30,0,0,0,0,0,0,0,0,0,0
1982-07-31,11,56,19,35,29,18,19,10,20,11
1982-08-31,0,0,0,0,0,0,0,0,0,0
1982-09-30,0,0,0,0,0,0,0,0,0,0
1982-10-31,0,0,0,0,0,0,0,0,0,0
1982-11-30,28,14,0,59,29,3,57,6,56,114
1982-12-31,0,0,0,0,0,0,0,0,0,0
1983-01-31,66,141,52,158,76,91,44,81,59,47
1983-02-28,10,5,16,15,11,9,11,15,15,2
1983-03-31,25,37,29,29,12,2,12,31,21,27
1983-04-30,0,0,0,0,0,0,0,0,0,0
1983-05-31,106,13,30,19,16,2,2,33,6,0
1983-06-30,9,28,46,33,13,36,51,26,8,3
1983-07-31,0,0,0,0,0,0,0,0,0,0
1983-08-31,27,6,3,52,7,18,7,10,69,74
1983-09-30,0,0,0,0,0,0,0,0,0,0
1983-10-31,17,119,23,39,12,47,40,42,8,3
1983-11-30,3,0,13,0,19,7,20,4,11,8
1983-12-31,11,130,17,33,12,4,13,9,26,10
1984-01-31,93,20,52,13,21,19,10,15,8,3
1984-02-29,13,56,20,12,39,17,4,24,15,1
1984-03-31,0,0,0,0,0,0,0,0,0,0
1984-04-30,0,0,0,0,0,0,0,0,0,0
1984-05-31,0,0,0,0,0,0,0,0,0,0
1984-06-30,24,81,43,82,34,28,30,65,21,13
1984-07-31,0,0,0,0,0,0,0,0,0,0
1984-08-31,38,19,3,70,15,5,54,10,25,35
1984-09-30,0,0,0,0,0,0,0,0,0,0
1984-10-31,0,0,0,0,0,0,0,0,0,0
1984-11-30,0,0,0,0,0,0,0,0,0,0
1984-12-31,30,16,8,7,22,7,4,3,14,4
1985-01-31,0,0,0,0,0,0,0,0,0,0
1985-02-28,116,4,44,7,14,13,6,14,12,1
1985-03-31,0,0,0,0,0,0,0,0,0,0
1985-04-30,6,1,10,4,7,0,0,1,4,0
1985-05-31,0,0,0,0,0,0,0,0,0,0
1985-06-30,0,0,0,0,0,0,0,0,0,0
1985-07-31,0,0,0,0,0,0,0,0,0,0
1985-08-31,9,50,47,75,34,54,49,36,15,5
1985-09-30,109,19,48,21,29,64,18,12,31,26
1985-10-31,0,0,0,0,0,0,0,0,0,0
1985-11-30,5,17,28,38,3,17,63,11,16,8
1985-12-31,0,0,0,0,0,0,0,0,0,0
1986-01-31,2,9,0,5,2,3,0,6,4,1
1986-02-28,0,0,0,0,0,0,0,0,0,0
1986-03-31,8,23,36,32,26,24,13,18,17,13
1986-04-30,3,3,0,7,2,3,1,2,6,17
1986-05-31,0,0,0,0,0,0,0,0,0,0
1986-06-30,13,5,5,11,16,6,3,6,41,27
1986-07-31,0,0,0,0,0,0,0,0,0,0
1986-08-31,21,13,8,20,15,12,33,14,13,70
1986-09-30,0,0,0,0,0,0,0,0,0,0
1986-10-31,30,84,43,28,57,56,25,31,22,9
1986-11-30,20,62,17,36,20,6,24,38,15,26
1986-12-31,0,0,0,0,0,0,0,0,0,0
1987-01-31,19,19,1,49,20,3,88,30,38,49
1987-02-28,0,0,0,0,0,0,0,0,0,0
1987-03-31,48,88,15,63,11,23,74,29,22,20
1987-04-30,154,38,92,13,32,47,32,31,30,2
1987-05-31,156,24,29,40,42,28,143,22,43,27
1987-06-30,0,0,0,0,0,0,0,0,0,0
1987-07-31,0,0,0,0,0,0,0,0,0,0
1987-08-31,18,35,35,10,66,28,13,7,23,10
1987-09-30,0,0,0,0,0,0,0,0,0,0
1987-10-31,0,0,0,0,0,0,0,0,0,0
1987-11-30,24,64,52,28,14,78,39,27,39,13
1987-12-31,40,2,1,8,0,1,2,3,13,8
1988-01-31,12,17,63,12,5,46,4,10,19,21
1988-02-29,21,27,112,33,27,100,19,24,12,14
1988-03-31,0,0,0,0,0,0,0,0,0,0
1988-04-30,90,20,48,16,39,48,30,42,18,7
1988-05-31,0,0,0,0,0,0,0,0,0,0
1988-06-30,0,0,0,0,0,0,0,0,0,0
1988-07-31,0,0,0,0,0,0,0,0,0,0
1988-08-31,35,35,20,19,40,31,10,12,3,2
1988-09-30,0,0,0,0,0,0,0,0,0,0
1988-10-31,0,0,0,0,0,0,0,0,0,0
1988-11-30,0,0,0,0,0,0,0,0,0,0
1988-12-31,0,0,0,0,0,0,0,0,0,0
1989-01-31,0,0,0,0,0,0,0,0,0,0
1989-02-28,24,4,9,0,21,6,5,9,15,0
1989-03-31,7,18,21,0,18,21,11,9,13,1
1989-04-30,0,0,0,0,0,0,0,0,0,0
1989-05-31,0,0,0,0,0,0,0,0,0,0
1989-06-30,0,0,0,0,0,0,0,0,0,0
1989-07-31,90,41,46,43,51,34,30,25,11,2
1989-08-31,0,0,0,0,0,0,0,0,0,0
1989-09-30,0,0,0,0,0,0,0,0,0,0
1989-10-31,0,0,0,0,0,0,0,0,0,0
1989-11-30,0,0,0,0,0,0,0,0,0,0
1989-12-31,0,0,0,0,0,0,0,0,0,0
1990-01-31,34,94,56,64,16,73,131,64,20,10
1990-02-28,0,0,0,0,0,0,0,0,0,0
1990-03-31,0,0,0,0,0,0,0,0,0,0
1990-04-30,0,0,0,0,0,0,0,0,0,0
1990-05-31,0,0,0,0,0,0,0,0,0,0
1990-06-30,12,20,46,6,8,48,3,23,14,13
1990-07-31,0,0,0,0,0,0,0,0,0,0
1990-08-31,0,0,0,0,0,0,0,0,0,0
1990-09-30,0,0,0,0,0,0,0,0,0,0
1990-10-31,0,0,0,0,0,0,0,0,0,0
1990-11-30,0,0,0,0,0,0,0,0,0,0
1990-12-31,10,57,64,18,7,35,59,6,8,6
1991-01-31,0,0,0,0,0,0,0,0,0,0
1991-02-28,32,97,36,54,36,34,24,30,32,13
1991-03-31,15,16,27,17,58,42,24,19,12,10
1991-04-30,66,18,65,25,39,23,29,52,21,49
1991-05-31,0,0,0,0,0,0,0,0,0,0
1991-06-30,0,0,0,0,0,0,0,0,0,0
1991-07-31,0,0,0,0,0,0,0,0,0,0
1991-08-31,0,0,0,0,0,0,0,0,0,0
1991-09-30,23,1,10,4,3,14,17,6,10,2
1991-10-31,0,0,0,0,0,0,0,0,0,0
1991-11-30,0,0,0,0,0,0,0,0,0,0
1991-12-31,28,6,3,17,20,3,2,15,23,28
1992-01-31,0,0,0,0,0,0,0,0,0,0
1992-02-29,20,25,34,20,10,24,11,25,21,4
1992-03-31,15,77,30,48,4,46,7,16,13,2
1992-04-30,23,0,48,4,5,2,0,11,25,6
1992-05-31,0,0,0,0,0,0,0,0,0,0
1992-06-30,4,21,71,27,24,74,20,18,20,20
1992-07-31,40,82,30,22,17,23,5,45,10,10
1992-08-31,0,0,0,0,0,0,0,0,0,0
1992-09-30,17,6,0,61,6,3,31,10,14,29
1992-10-31,0,0,0,0,0,0,0,0,0,0
1992-11-30,0,0,0,0,0,0,0,0,0,0
1992-12-31,4,0,11,0,21,1,9,2,14,5
1993-01-31,0,0,0,0,0,0,0,0,0,0
1993-02-28,0,0,0,0,0,0,0,0,0,0
1993-03-31,85,10,15,11,16,16,8,10,5,12
1993-04-30,111,93,124,52,106,72,93,93,58,23
1993-05-31,0,0,0,0,0,0,0,0,0,0
1993-06-30,0,0,0,0,0,0,0,0,0,0
1993-07-31,0,0,0,0,0,0,0,0,0,0
1993-08-31,54,32,66,26,5,54,19,37,15,8
1993-09-30,0,0,0,0,0,0,0,0,0,0
1993-10-31,11,3,1,21,32,19,27,8,16,8
1993-11-30,0,0,0,0,0,0,0,0,0,0
1993-12-31,0,0,0,0,0,0,0,0,0,0
1994-01-31,2,27,51,15,22,38,19,17,11,14
1994-02-28,64,30,28,15,12,29,14,31,21,15
1994-03-31,19,60,53,23,14,44,2,13,6,10
1994-04-30,12,78,44,35,13,5,5,38,21,7
1994-05-31,0,0,0,0,0,0,0,0,0,0
1994-06-30,10,35,24,19,21,18,22,11,11,8
1994-07-31,11,34,45,31,37,24,40,13,10,7
1994-08-31,0,0,0,0,0,0,0,0,0,0
1994-09-30,10,1,10,12,54,13,19,10,12,28
1994-10-31,5,0,84,4,55,63,55,5,46,14
1994-11-30,15,112,13,48,8,13,47,14,14,20
1994-12-31,33,11,10,9,11,14,11,19,24,11
1995-01-31,0,0,0,0,0,0,0,0,0,0
1995-02-28,78,28,47,12,5,26,11,13,10,3
1995-03-31,0,0,0,0,0,0,0,0,0,0
1995-04-30,0,0,0,0,0,0,0,0,0,0
1995-05-31,0,0,0,0,0,0,0,0,0,0
1995-06-30,79,25,26,9,18,18,1,5,7,4
1995-07-31,0,0,0,0,0,0,0,0,0,0
1995-08-31,44,2,12,24,9,17,20,20,16,1
1995-09-30,0,0,0,0,0,0,0,0,0,0
1995-10-31,0,0,0,0,0,0,0,0,0,0
1995-11-30,8,49,33,24,29,26,19,17,8,3
1995-12-31,27,96,35,16,19,19,6,9,12,9
1996-01-31,13,26,47,14,35,44,16,83,31,30
1996-02-29,5,10,111,12,38,109,11,48,17,18
1996-03-31,0,0,0,0,0,0,0,0,0,0
1996-04-30,10,28,1,41,2,1,17,8,4,10
1996-05-31,5,3,5,7,8,13,18,1,11,3
1996-06-30,0,0,0,0,0,0,0,0,0,0
1996-07-31,147,47,55,24,48,47,15,15,33,13
1996-08-31,0,0,0,0,0,0,0,0,0,0
1996-09-30,57,1,48,12,25,25,8,20,15,5
1996-10-31,6,119,55,38,21,42,5,37,13,30
1996-11-30,4,41,16,34,10,13,2,28,20,39
1996-12-31,60,4,5,6,30,7,3,10,15,9
1997-01-31,0,0,0,0,0,0,0,0,0,0
1997-02-28,0,0,0,0,0,0,0,0,0,0
1997-03-31,0,0,0,0,0,0,0,0,0,0
1997-04-30,0,0,0,0,0,0,0,0,0,0
1997-05-31,0,0,0,0,0,0,0,0,0,0
1997-06-30,0,0,0,0,0,0,0,0,0,0
1997-07-31,27,25,40,20,18,27,5,83,11,2
1997-08-31,68,33,91,36,51,77,57,27,20,10
1997-09-30,0,0,0,0,0,0,0,0,0,0
1997-10-31,0,0,0,0,0,0,0,0,0,0
1997-11-30,0,0,0,0,0,0,0,0,0,0
1997-12-31,0,0,0,0,0,0,0,0,0,0
1998-01-31,0,0,0,0,0,0,0,0,0,0
1998-02-28,17,95,39,13,46,20,42,38,18,4
1998-03-31,0,0,0,0,0,0,0,0,0,0
1998-04-30,0,0,0,0,0,0,0,0,0,0
1998-05-31,0,0,0,0,0,0,0,0,0,0
1998-06-30,0,0,0,0,0,0,0,0,0,0
1998-07-31,0,0,0,0,0,0,0,0,0,0
1998-08-31,0,0,0,0,0,0,0,0,0,0
1998-09-30,0,0,0,0,0,0,0,0,0,0
1998-10-31,0,0,0,11,1,9,0,1,0,10
1998-11-30,0,0,0,0,0,0,0,0,0,0
1998-12-31,0,0,0,0,0,0,0,0,0,0
